case,x,v_x_0
h=0,0.2048,0.185091853041574
h=0,0.20520000000000002,0.18543154562808395
h=0,0.2056,0.18577110730164
h=0,0.20600000000000002,0.18611053785451678
h=0,0.2064,0.1864498370790523
h=0,0.2068,0.18678900476764923
h=0,0.20720000000000002,0.18712804071277345
h=0,0.2076,0.18746694470695685
h=0,0.20800000000000002,0.18780571654279407
h=0,0.2084,0.18814435601294818
h=0,0.2088,0.18848286291014532
h=0,0.2092,0.18882123702717857
h=0,0.2096,0.1891594781569083
h=0,0.21000000000000002,0.18949758609225983
h=0,0.2104,0.18983556062622736
h=0,0.21080000000000002,0.1901734015518714
h=0,0.2112,0.19051110866232068
h=0,0.2116,0.1908486817507719
h=0,0.21200000000000002,0.19118612061049092
h=0,0.2124,0.19152342503481226
h=0,0.21280000000000002,0.1918605948171389
h=0,0.2132,0.19219762975094465
h=0,0.2136,0.19253452962977213
h=0,0.21400000000000002,0.19287129424723545
h=0,0.2144,0.1932079233970185
h=0,0.21480000000000002,0.19354441687287677
h=0,0.2152,0.19388077446863636
h=0,0.2156,0.1942169959781961
h=0,0.216,0.19455308119552636
h=0,0.2164,0.19488902991466997
h=0,0.21680000000000002,0.19522484192974313
h=0,0.2172,0.1955605170349348
h=0,0.21760000000000002,0.19589605502450697
h=0,0.218,0.19623145569279637
h=0,0.2184,0.1965667188342135
h=0,0.21880000000000002,0.19690184424324347
h=0,0.2192,0.1972368317144467
h=0,0.21960000000000002,0.19757168104245892
h=0,0.22,0.19790639202199087
h=0,0.2204,0.19824096444782996
h=0,0.22080000000000002,0.19857539811483968
h=0,0.2212,0.1989096928179605
h=0,0.22160000000000002,0.19924384835221012
h=0,0.222,0.1995778645126824
h=0,0.22240000000000001,0.19991174109455098
h=0,0.2228,0.2002454778930661
h=0,0.2232,0.20057907470355785
h=0,0.22360000000000002,0.2009125313214335
h=0,0.224,0.20124584754218122
h=0,0.22440000000000002,0.20157902316136786
h=0,0.2248,0.20191205797464068
h=0,0.2252,0.20224495177772628
h=0,0.22560000000000002,0.2025777043664331
h=0,0.226,0.20291031553664945
h=0,0.22640000000000002,0.20324278508434693
h=0,0.2268,0.2035751128055763
h=0,0.2272,0.20390729849647166
h=0,0.22760000000000002,0.2042393419532504
h=0,0.228,0.204571242972211
h=0,0.22840000000000002,0.20490300134973644
h=0,0.2288,0.20523461688229194
h=0,0.22920000000000001,0.2055660893664279
h=0,0.2296,0.2058974185987781
h=0,0.23,0.20622860437606105
h=0,0.23040000000000002,0.2065596464950798
h=0,0.2308,0.20689054475272356
h=0,0.23120000000000002,0.20722129894596594
h=0,0.2316,0.20755190887186795
h=0,0.232,0.20788237432757578
h=0,0.23240000000000002,0.20821269511032292
h=0,0.2328,0.20854287101742944
h=0,0.23320000000000002,0.20887290184630355
h=0,0.2336,0.20920278739443987
h=0,0.234,0.20953252745942236
h=0,0.23440000000000003,0.20986212183892328
h=0,0.2348,0.21019157033070301
h=0,0.23520000000000002,0.21052087273261116
h=0,0.2356,0.21085002884258833
